cid,text,time,author,channel,votes,photo,heart
UggtN4eyEUXGe3gCoAEC,Welcome everyone who subscribed to this channel since the end of the last season of Citation Needed! Good luck.,5 年前,Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,1825,https://yt3.ggpht.com/ytc/AKedOLTXiEEaFzttoTBJkstr3Wub9XLWO5MFOiiM6ukVkw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDPeWSgofLhrIMf_Z4AaABAg,"When your DM says the game is set in world war 2, but you've already prepared a great barbarian character.",4 年前,TunnelDragon44,UCD-JLDpRW-W_S6qXRjrAK5A,2286,https://yt3.ggpht.com/ytc/AKedOLQWNw7FBmwNm3NHr03RsmyO4xF-YOfaGgiD6vHB=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPJVkz2pZeIV6rDLx4AaABAg,"Gary discovered on Twitter today that ""Mad Jack"" Churchill was a personal friend of Jon Pertwee, the third Doctor Who. From his acting days. Obviously.",1 年前,J.K. Wheeler,UCtoOHgMcZtPWoanXutDjYFw,107,https://yt3.ggpht.com/ytc/AKedOLRb2oRqMNbRoigFHW41g1-5NfBsD4FFWf4wOGKTaQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugi4B2AMlfmGrngCoAEC,Part of me wishes Jack Churchill and Seargent Reckless had somehow crossed paths in life. Oh the adventures they could have had...,5 年前,knightshousegames,UClOhF8TQZbixtf4ZRG3QAew,1016,https://yt3.ggpht.com/ytc/AKedOLS4X-8rgIP_Tax-c3b3kKa3-LKhO3J_DuAcnWP0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHdgb88KXW_LpNpBB4AaABAg,"It's happened.
The Chris scored biscuits so hard that it became a point",3 年前,Oliver Gs,UCNENEEfy05TPimwqK91yNxQ,666,https://yt3.ggpht.com/ytc/AKedOLRpG_BMsi1lcF2Kaet-no2RqZzfOD6q84aWxXJI4w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugg4wbRt3xjEyngCoAEC,This man's a tabletop campaign. The entire thing.,5 年前,Glen Moody-Elias,UCOvA2BSMYBULbs27g1eoYMg,1682,https://yt3.ggpht.com/ytc/AKedOLREMBvvzxIuIyFMzPNRGijEAPXcvoqM9eSF6g=s176-c-k-c0x00ffffff-no-rj,0.0
Ughiey5N1fah73gCoAEC,"The best part was HOW he was captured by the Germans.

""Churchill continued to lead his men in action against the German forces in Yugoslavia, but was eventually captured by the enemy while fighting for Point 622 on the island of Brac in the Adriatic Sea, when every man in his Commando team was killed or wounded and all of his revolver ammunition ran out.  Knowing that he was not going to escape, and having no further means of killing Nazis, Jack started playing sad songs on his bagpipes until he was finally knocked unconscious by a frag grenade and taken off to the Sachsenhausen Concentration Camp.""",5 年前,Sollow,UCB_qkGskTVhd8E2J1LstI4g,2480,https://yt3.ggpht.com/5NbWwuTbqH2kJXeSnik0Swljmqc4LiUhe38bBpIAx8MVH5qDb4lTlsUSJYfD3rnI5y3Kh3fK6u4=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPzFf7IceFODYAxnZ4AaABAg,"He wasn't Scottish, but we'll happily claim him, what a legend",4 年前,Tay74,UCYXp5RehCSLRjlODKTCipkA,623,https://yt3.ggpht.com/ytc/AKedOLT_O2-lHH0UHBeeLupQdwW2G4BA1AtVD3pPJ8XaVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxF6b1jAwCYSN2J66F4AaABAg,"""with a longbow you are quite a way back""
""Norway""

Well blimey that is quite a way back",1 年前,Sam Sullivan,UCslNRpbmVeknHzx1MkfmboA,52,https://yt3.ggpht.com/ytc/AKedOLQftIipdC-Bb09vm9lhgnkn1L8ihTPEn_tntHtqHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgjtmUkx6BbzXXgCoAEC,"""Any officer who goes into action without his sword is improperly dressed."" Jack Churchill",5 年前,Khaotic Phoenix,UCV7mj7upvmYePBzPNT63XpQ,1052,https://yt3.ggpht.com/ytc/AKedOLRw8xARz4zQACCGxfW5w-tnX0gCtPA1Nf0Z0ThB=s176-c-k-c0x00ffffff-no-rj,0.0
